Nome do alimento,Fonte,Kcal,Proteina,Hidratos,Gordura
"peito de frango sem pele, cozido",INSA,"148,00 Kcal","34,50 g","0,00 g","1,10 g"
"peito de frango sem pele, estufado com margarina",INSA,"121,00 Kcal","21,40 g","1,70 g","3,00 g"
"peito de frango sem pele, estufado com azeite e margarina",INSA,"124,00 Kcal","21,40 g","1,70 g","3,30 g"
"peito de frango sem pele, estufado sem molho",INSA,"169,00 Kcal","36,60 g","0,00 g","2,50 g"
coelho cru,INSA,"117,00 Kcal","20,30 g","0,00 g","4,00 g"
coelho estufado com margarina,INSA,"205,00 Kcal","26,60 g","0,90 g","9,50 g"
coelho estufado com azeite,INSA,"218,00 Kcal","26,60 g","0,90 g","11,00 g"
"pato com pele, cru",INSA,"394,00 Kcal","12,30 g","0,00 g","38,30 g"
"pato sem pele, cru",INSA,"133,00 Kcal","19,30 g","0,00 g","6,20 g"
"pato sem pele, estufado com margarina",INSA,"232,00 Kcal","27,20 g","0,00 g","13,70 g"
"pato com pele, assado sem molho",INSA,"347,00 Kcal","18,50 g","0,00 g","30,30 g"
"pato sem pele, assado com margarina",INSA,"276,00 Kcal","36,20 g","0,00 g","14,60 g"
"peito de peru com pele, cru",INSA,"134,00 Kcal","23,00 g","0,00 g","4,70 g"
"perna de peru com pele, crua",INSA,"149,00 Kcal","18,90 g","0,00 g","8,10 g"
"peito de peru sem pele, cru",INSA,"105,00 Kcal","23,40 g","0,00 g","1,30 g"
"peru inteiro com pele, cru",INSA,"137,00 Kcal","20,50 g","0,00 g","6,10 g"
"perna de peru com pele, estufada com margarina",INSA,"170,00 Kcal","19,10 g","1,30 g","9,70 g"
"peito de peru com pele, estufado com margarina",INSA,"163,00 Kcal","23,10 g","1,30 g","7,10 g"
"peito de peru sem pele, assado com margarina",INSA,"175,00 Kcal","28,90 g","0,10 g","6,40 g"
"perna de peru com pele, assada com margarina",INSA,"212,00 Kcal","24,40 g","0,00 g","12,50 g"
"peito de peru sem pele, panado",INSA,"226,00 Kcal","25,50 g","8,40 g","9,90 g"
hambúrguer de feijão manteiga frito com azeite,INSA,"169,00 Kcal","8,00 g","19,80 g","5,30 g"
hambúrguer de feijão manteiga frito com óleo de milho,INSA,"169,00 Kcal","8,00 g","19,80 g","5,30 g"
"hambúrguer de vaca, cru",INSA,"142,00 Kcal","20,20 g","0,00 g","6,80 g"
"hambúrguer de vaca, grelhado",INSA,"183,00 Kcal","27,30 g","0,00 g","8,20 g"
