Calculadora Calorias,,,,,,Calculadora Almoços,,,,,,,,,,,,,,,,,,,,,,,,SOPA,,,,
Nome do alimento,Kcal,Proteina,Hidratos,Gordura,,Proteina 1/2,Kcal,Proteina,Hidratos,Gordura,,Hidratos,Kcal,Proteina,Hidratos,Gordura,,Legumes,Kcal,Proteina,Hidratos,Gordura,,Outro,Kcal,Proteina,Hidratos,Gordura,,Nome do alimento,Kcal,Proteina,Hidratos,Gordura
pudim flan continente (un.),"99,00 Kcal","2,40 Kcal","18,50 Kcal","1,70 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pudim flan lidl (un.),"101,00 Kcal","2,50 Kcal","20,90 Kcal","0,90 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pudim flan proteína Mercadona (un.),"62,00 Kcal","10,00 Kcal","5,90 Kcal","0,20 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pudim proteína côco Lidl (un.),"154,00 Kcal","20,00 Kcal","11,40 Kcal","3,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pudim proteina continente baunilha (un.),"174,00 Kcal","20,00 Kcal","14,10 Kcal","3,70 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pudim proteína continente caramelo (un.),"149,00 Kcal","18,40 Kcal","12,70 Kcal","2,60 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pudim proteina continente chocolate (un.),"174,00 Kcal","20,00 Kcal","14,10 Kcal","3,70 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pudim proteina lidl baunilha (un.),"150,00 Kcal","20,00 Kcal","10,40 Kcal","3,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pudim proteina lidl chocolate (un.),"152,00 Kcal","20,00 Kcal","10,40 Kcal","3,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quark proteína lidl framboesa (un.),"140,00 Kcal","25,00 Kcal","7,20 Kcal","1,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quark proteína lidl morango (un.),"136,00 Kcal","24,60 Kcal","7,00 Kcal","1,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quark proteína lidl pêssego (un.),"138,00 Kcal","24,60 Kcal","7,40 Kcal","1,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queijinhos cremosos continente (un.),"32,20 Kcal","1,28 Kcal","1,24 Kcal","2,45 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
queijinhos triângulo Mercadona (un.),"23,00 Kcal","1,80 Kcal","0,90 Kcal","1,40 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
queijo brie marcillat (g),"347,00 Kcal","17,00 Kcal","0,00 Kcal","31,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queijo cottage light Lidl (g),"70,00 Kcal","12,50 Kcal","3,10 Kcal","0,80 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queijo de barra magro agros(g),"252,00 Kcal","28,00 Kcal","0,00 Kcal","15,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queijo de barra magro continente (g),"275,00 Kcal","26,00 Kcal","2,20 Kcal","18,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queijo de barra magro milhafre (g),"255,00 Kcal","31,00 Kcal","0,00 Kcal","14,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queijo de barra magro terra do vento (g),"265,00 Kcal","29,00 Kcal","0,50 Kcal","15,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queijo de barra magro terra nostra (g),"224,00 Kcal","26,50 Kcal","0,30 Kcal","13,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
queijo de bola magro continente (g),"302,00 Kcal","26,00 Kcal","12,40 Kcal","21,20 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snack wrap™ mayo un.,"314,00 Kcal","11,00 Kcal","32,00 Kcal","15,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snickers (un.),"245,00 Kcal","4,30 Kcal","30,00 Kcal","12,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
